,player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
10,4742,Christophe,Lepoint,Christophe Lepoint,2022-01-01,2715,christophe-lepoint,,Brussel,,1984-10-24 00:00:00,Central Midfield,Midfield,right,189.0,2024-06-30 00:00:00,Eleven Plus,https://img.a.transfermarkt.technology/portrait/header/4742-1487766974.jpg?lm=1,https://www.transfermarkt.co.uk/christophe-lepoint/profil/spieler/4742,BE1,RFC Seraing,50000.0,1700000.0
11,4811,,Hilton,Hilton,2020-01-01,969,hilton,Brazil,Brasília,Brazil,1977-09-13 00:00:00,Centre-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/4811-1556289804.jpg?lm=1,https://www.transfermarkt.co.uk/hilton/profil/spieler/4811,FR1,Montpellier Hérault Sport Club,150000.0,6000000.0
12,5017,Niklas,Moisander,Niklas Moisander,2020-01-01,86,niklas-moisander,Finland,Turku,Finland,1985-09-29 00:00:00,Centre-Back,Defender,left,183.0,2023-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/5017-1535124028.jpg?lm=1,https://www.transfermarkt.co.uk/niklas-moisander/profil/spieler/5017,L1,Sportverein Werder Bremen von 1899,300000.0,6500000.0
13,5023,Gianluigi,Buffon,Gianluigi Buffon,2020-01-01,506,gianluigi-buffon,Italy,Carrara,Italy,1978-01-28 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2024-06-30 00:00:00,Assist,https://img.a.transfermarkt.technology/portrait/header/5023-1448530267.jpg?lm=1,https://www.transfermarkt.co.uk/gianluigi-buffon/profil/spieler/5023,IT1,Juventus Football Club,1000000.0,35000000.0
14,5336,Anastasios,Tsokanis,Anastasios Tsokanis,2024-01-01,60949,anastasios-tsokanis,Greece,Chalkida,Greece,1991-05-02 00:00:00,Defensive Midfield,Midfield,left,176.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/anastasios-tsokanis/profil/spieler/5336,GR1,Volou Neos Podosferikos Syllogos,300000.0,450000.0
15,5578,Nicolas,Penneteau,Nicolas Penneteau,2022-01-01,1421,nicolas-penneteau,France,Marseille,France,1981-02-28 00:00:00,Goalkeeper,Goalkeeper,left,185.0,,USM GROUP ,https://img.a.transfermarkt.technology/portrait/header/5578-1639678389.png?lm=1,https://www.transfermarkt.co.uk/nicolas-penneteau/profil/spieler/5578,FR1,Stade de Reims,100000.0,2800000.0
16,6270,Yohann,Pelé,Yohann Pelé,2020-01-01,244,yohann-pele,France,Brou-sur-Chantereine,France,1982-11-04 00:00:00,Goalkeeper,Goalkeeper,right,196.0,,F12,https://img.a.transfermarkt.technology/portrait/header/6270-1604255690.jpg?lm=1,https://www.transfermarkt.co.uk/yohann-pele/profil/spieler/6270,FR1,Olympique de Marseille,250000.0,5000000.0
17,6442,Antonio,Rosati,Antonio Rosati,2021-01-01,430,antonio-rosati,Italy,Tivoli,Italy,1983-06-26 00:00:00,Goalkeeper,Goalkeeper,right,195.0,,World Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/6442-1464097998.jpg?lm=1,https://www.transfermarkt.co.uk/antonio-rosati/profil/spieler/6442,IT1,Associazione Calcio Fiorentina,100000.0,2800000.0
18,6636,Christian,Fuchs,Christian Fuchs,2020-01-01,1003,christian-fuchs,Austria,Neunkirchen,Austria,1986-04-07 00:00:00,Left-Back,Defender,left,187.0,,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/6636-1646522420.jpg?lm=1,https://www.transfermarkt.co.uk/christian-fuchs/profil/spieler/6636,GB1,Leicester City Football Club,400000.0,7500000.0
19,6807,Simone,Farelli,Simone Farelli,2020-01-01,12,simone-farelli,Italy,Roma,Italy,1983-02-19 00:00:00,Goalkeeper,Goalkeeper,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/6807-1603285447.jpg?lm=1,https://www.transfermarkt.co.uk/simone-farelli/profil/spieler/6807,IT1,Associazione Sportiva Roma,50000.0,200000.0
20,7093,Francesco,Magnanelli,Francesco Magnanelli,2021-01-01,6574,francesco-magnanelli,Italy,Umbertide,Italy,1984-11-12 00:00:00,Defensive Midfield,Midfield,right,181.0,,TMP SOCCER srl ,https://img.a.transfermarkt.technology/portrait/header/7093-1663947549.jpg?lm=1,https://www.transfermarkt.co.uk/francesco-magnanelli/profil/spieler/7093,IT1,US Sassuolo,400000.0,3000000.0
21,7161,Jonas,Hofmann,Jonas Hofmann,2024-01-01,15,jonas-hofmann,Germany,Heidelberg,Germany,1992-07-14 00:00:00,Attacking Midfield,Midfield,right,176.0,2027-06-30 00:00:00,Dr. Marco Gutfleisch,https://img.a.transfermarkt.technology/portrait/header/7161-1689710421.jpg?lm=1,https://www.transfermarkt.co.uk/jonas-hofmann/profil/spieler/7161,L1,Bayer 04 Leverkusen Fußball,5000000.0,16000000.0
22,7252,Aleksandr,Ryazantsev,Aleksandr Ryazantsev,2022-01-01,1186,aleksandr-ryazantsev,UdSSR,Moskau,Russia,1986-09-05 00:00:00,Central Midfield,Midfield,right,179.0,2024-06-30 00:00:00,ppsports,https://img.a.transfermarkt.technology/portrait/header/7252-1626695758.png?lm=1,https://www.transfermarkt.co.uk/aleksandr-ryazantsev/profil/spieler/7252,RU1,Torpedo Moscow,50000.0,6500000.0
23,7663,,Joaquín,Joaquín,2022-01-01,150,joaquin,Spain,El Puerto de Santa María,Spain,1981-07-21 00:00:00,Right Winger,Attack,right,181.0,,Juzzt Football,https://img.a.transfermarkt.technology/portrait/header/7663-1650864280.jpg?lm=1,https://www.transfermarkt.co.uk/joaquin/profil/spieler/7663,ES1,Real Betis Balompié S.A.D.,1500000.0,28000000.0
24,7668,Alberto,Cifuentes,Alberto Cifuentes,2020-01-01,2687,alberto-cifuentes,Spain,Albacete,Spain,1979-05-29 00:00:00,Goalkeeper,Goalkeeper,,190.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/alberto-cifuentes/profil/spieler/7668,ES1,Cádiz CF,100000.0,1000000.0
25,7825,Pepe,Reina,Pepe Reina,2024-01-01,1047,pepe-reina,Spain,Madrid,Spain,1982-08-31 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/7825-1724826388.jpg?lm=1,https://www.transfermarkt.co.uk/pepe-reina/profil/spieler/7825,IT1,Calcio Como,600000.0,22000000.0
26,8176,Oier,Olazábal,Oier Olazábal,2021-01-01,714,oier-olazabal,Spain,Irún,Spain,1989-09-14 00:00:00,Goalkeeper,Goalkeeper,left,189.0,,Sport Agency 4U,https://img.a.transfermarkt.technology/portrait/header/8176-1663245272.jpg?lm=1,https://www.transfermarkt.co.uk/oier-olazabal/profil/spieler/8176,ES1,Reial Club Deportiu Espanyol de Barcelona S.A.D.,200000.0,2500000.0
27,8184,Rubén,Martínez,Rubén Martínez,2020-01-01,331,ruben-martinez,Spain,Coristanco,Spain,1984-06-22 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/8184-1583310157.jpg?lm=1,https://www.transfermarkt.co.uk/ruben-martinez/profil/spieler/8184,ES1,Club Atlético Osasuna,200000.0,2000000.0
28,8198,,Cristiano Ronaldo,Cristiano Ronaldo,2022-01-01,985,cristiano-ronaldo,Portugal,Funchal,Portugal,1985-02-05 00:00:00,Centre-Forward,Attack,right,187.0,2025-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/8198-1685035469.png?lm=1,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,GB1,Manchester United Football Club,15000000.0,120000000.0
29,8246,Philipp,Pentke,Philipp Pentke,2023-01-01,3,philipp-pentke,East Germany (GDR),Freiberg,Germany,1985-05-01 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2025-06-30 00:00:00,Bigpoint,https://img.a.transfermarkt.technology/portrait/header/8246-1721139872.jpg?lm=1,https://www.transfermarkt.co.uk/philipp-pentke/profil/spieler/8246,L1,1.FC Köln,300000.0,400000.0
30,8552,Arouna,Koné,Arouna Koné,2020-01-01,2381,arouna-kone,Cote d'Ivoire,Anyama,Cote d'Ivoire,1983-11-11 00:00:00,Centre-Forward,Attack,right,181.0,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/8552-1566989605.jpg?lm=1,https://www.transfermarkt.co.uk/arouna-kone/profil/spieler/8552,TR1,Sivasspor Kulübü,150000.0,12000000.0
31,8806,Cesc,Fàbregas,Cesc Fàbregas,2021-01-01,162,cesc-fabregas,Spain,Arenys de Mar,Spain,1987-05-04 00:00:00,Central Midfield,Midfield,right,179.0,2024-06-30 00:00:00,Darren Dein,https://img.a.transfermarkt.technology/portrait/header/8806-1614090062.jpg?lm=1,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806,FR1,Association sportive de Monaco Football Club,1000000.0,55000000.0
32,9335,Rui,Fonte,Rui Fonte,2022-01-01,3329,rui-fonte,Portugal,Penafiel,Portugal,1990-04-23 00:00:00,Centre-Forward,Attack,right,180.0,2024-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/9335-1591777476.png?lm=1,https://www.transfermarkt.co.uk/rui-fonte/profil/spieler/9335,PO1,Futebol Clube de Famalicão,300000.0,6000000.0
33,9413,Ricardo,Vaz Tê,Ricardo Vaz Tê,2020-01-01,7378,ricardo-vaz-te,Portugal,Lisboa,Portugal,1986-10-01 00:00:00,Right Winger,Attack,right,188.0,,Pedro Restani Romão,https://img.a.transfermarkt.technology/portrait/header/9413-1500037386.jpg?lm=1,https://www.transfermarkt.co.uk/ricardo-vaz-te/profil/spieler/9413,PO1,Portimonense SC,100000.0,3000000.0
34,9422,Allan,McGregor,Allan McGregor,2022-01-01,124,allan-mcgregor,Scotland,Edinburgh,Scotland,1982-01-31 00:00:00,Goalkeeper,Goalkeeper,right,183.0,,,https://img.a.transfermarkt.technology/portrait/header/9422-1663177547.jpg?lm=1,https://www.transfermarkt.co.uk/allan-mcgregor/profil/spieler/9422,SC1,Rangers Football Club,300000.0,8500000.0
35,9500,David,Marshall,David Marshall,2023-01-01,903,david-marshall,Scotland,Glasgow,Scotland,1985-03-05 00:00:00,Goalkeeper,Goalkeeper,right,187.0,,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/9500-1697535030.jpg?lm=1,https://www.transfermarkt.co.uk/david-marshall/profil/spieler/9500,SC1,Hibernian Football Club,50000.0,3000000.0
36,9593,Olivier,Deschacht,Olivier Deschacht,2020-01-01,3508,olivier-deschacht,Belgium,Gent,Belgium,1981-02-16 00:00:00,Centre-Back,Defender,left,187.0,,Eleven Management,https://img.a.transfermarkt.technology/portrait/header/9593-1487762557.jpg?lm=1,https://www.transfermarkt.co.uk/olivier-deschacht/profil/spieler/9593,BE1,SV Zulte Waregem,100000.0,3500000.0
37,9618,Chris,Burke,Chris Burke,2020-01-01,2553,chris-burke,Scotland,Glasgow,Scotland,1983-12-02 00:00:00,Right Midfield,Midfield,right,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_9618_337_2013_03_05_1.jpg?lm=1,https://www.transfermarkt.co.uk/chris-burke/profil/spieler/9618,SC1,Kilmarnock Football Club,275000.0,2750000.0
38,9800,Artem,Milevskyi,Artem Milevskyi,2020-01-01,61825,artem-milevskyi,UdSSR,Minsk,Ukraine,1985-01-12 00:00:00,Centre-Forward,Attack,right,189.0,,OFA,https://img.a.transfermarkt.technology/portrait/header/9800-1611591092.png?lm=1,https://www.transfermarkt.co.uk/artem-milevskyi/profil/spieler/9800,UKR1,FC Minaj,100000.0,11000000.0
39,10003,Wes,Morgan,Wes Morgan,2020-01-01,1003,wes-morgan,England,Nottingham,Jamaica,1984-01-21 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/10003-1405438663.jpg?lm=1,https://www.transfermarkt.co.uk/wes-morgan/profil/spieler/10003,GB1,Leicester City Football Club,400000.0,3500000.0
40,10143,Umut,Bulut,Umut Bulut,2020-01-01,19789,umut-bulut,Turkey,Kayseri,Turkey,1983-03-15 00:00:00,Centre-Forward,Attack,right,184.0,2023-06-30 00:00:00,Stars & Friends,https://img.a.transfermarkt.technology/portrait/header/10143-1663353142.png?lm=1,https://www.transfermarkt.co.uk/umut-bulut/profil/spieler/10143,TR1,Yeni Malatyaspor,25000.0,6000000.0
41,10471,,Luiz Gustavo,Luiz Gustavo,2021-01-01,36,luiz-gustavo,Brazil,Pindamonhangaba,Brazil,1987-07-23 00:00:00,Defensive Midfield,Midfield,left,187.0,2023-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/10471-1566826643.jpg?lm=1,https://www.transfermarkt.co.uk/luiz-gustavo/profil/spieler/10471,TR1,Fenerbahçe Spor Kulübü,500000.0,22000000.0
42,11111,Ramiro,Funes Mori,Ramiro Funes Mori,2020-01-01,1050,ramiro-funes-mori,Argentina,Mendoza,Argentina,1991-03-05 00:00:00,Centre-Back,Defender,left,187.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/11111-1418827022.jpg?lm=1,https://www.transfermarkt.co.uk/ramiro-funes-mori/profil/spieler/11111,ES1,Villarreal Club de Fútbol S.A.D.,1000000.0,12000000.0
43,11530,Lionel,Carole,Lionel Carole,2024-01-01,3205,lionel-carole,France,Montreuil,France,1991-04-12 00:00:00,Left-Back,Defender,left,180.0,2025-06-30 00:00:00,PREMIER'ART,https://img.a.transfermarkt.technology/portrait/header/11530-1694080287.png?lm=1,https://www.transfermarkt.co.uk/lionel-carole/profil/spieler/11530,TR1,Kayserispor Kulübü,500000.0,3500000.0
44,12029,Ludovic,Butelle,Ludovic Butelle,2024-01-01,1421,ludovic-butelle,France,Reims,France,1983-04-03 00:00:00,Goalkeeper,Goalkeeper,left,188.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/12029-1723831895.png?lm=1,https://www.transfermarkt.co.uk/ludovic-butelle/profil/spieler/12029,FR1,Stade de Reims,100000.0,1750000.0
45,12282,Daley,Blind,Daley Blind,2024-01-01,12321,daley-blind,Netherlands,Amsterdam,Netherlands,1990-03-09 00:00:00,Centre-Back,Defender,left,180.0,2026-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/12282-1718096647.jpg?lm=1,https://www.transfermarkt.co.uk/daley-blind/profil/spieler/12282,ES1,Girona Fútbol Club S. A. D.,2000000.0,25000000.0
46,12359,Niki,Mäenpää,Niki Mäenpää,2024-01-01,3062,niki-maenpaa,Finland,Espoo,Finland,1985-01-23 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2025-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/12359-1630656734.jpg?lm=1,https://www.transfermarkt.co.uk/niki-maenpaa/profil/spieler/12359,GR1,Athens Kallithea Football Club,50000.0,600000.0
47,12563,Goran,Pandev,Goran Pandev,2021-01-01,252,goran-pandev,Jugoslawien (SFR),Strumica,North Macedonia,1983-07-27 00:00:00,Second Striker,Attack,left,184.0,,,https://img.a.transfermarkt.technology/portrait/header/12563-1630583396.jpg?lm=1,https://www.transfermarkt.co.uk/goran-pandev/profil/spieler/12563,IT1,Genoa Cricket and Football Club,400000.0,18000000.0
48,12589,Craig,Gordon,Craig Gordon,2024-01-01,43,craig-gordon,Scotland,Edinburgh,Scotland,1982-12-31 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2025-05-31 00:00:00,World in Motion,https://img.a.transfermarkt.technology/portrait/header/12589-1716378382.jpg?lm=1,https://www.transfermarkt.co.uk/craig-gordon/profil/spieler/12589,SC1,Heart of Midlothian Football Club,100000.0,10000000.0
49,12682,Neil,Alexander,Neil Alexander,2020-01-01,1519,neil-alexander,Scotland,Edinburgh,Scotland,1978-03-10 00:00:00,Goalkeeper,Goalkeeper,,185.0,,,https://img.a.transfermarkt.technology/portrait/header/s_12682_873_2013_09_26_1.jpg?lm=1,https://www.transfermarkt.co.uk/neil-alexander/profil/spieler/12682,SC1,Dundee United Football Club,150000.0,2000000.0
50,12688,Scott,Brown,Scott Brown,2021-01-01,370,scott-brown,Scotland,Dunfermline,Scotland,1985-06-25 00:00:00,Central Midfield,Midfield,right,175.0,,Asa Sports,https://img.a.transfermarkt.technology/portrait/header/s_12688_371_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/scott-brown/profil/spieler/12688,SC1,Aberdeen Football Club,600000.0,6600000.0
51,12752,Craig,Samson,Craig Samson,2022-01-01,370,craig-samson,Scotland,Irvine,Scotland,1984-08-24 00:00:00,Goalkeeper,Goalkeeper,,185.0,,,https://img.a.transfermarkt.technology/portrait/header/12752-1623746887.jpg?lm=1,https://www.transfermarkt.co.uk/craig-samson/profil/spieler/12752,SC1,Aberdeen Football Club,325000.0,500000.0
52,12811,Dave,Mackay,Dave Mackay,2021-01-01,511,dave-mackay,Scotland,Rutherglen,Scotland,1980-05-02 00:00:00,Right-Back,Defender,right,186.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/dave-mackay/profil/spieler/12811,SC1,Dundee Football Club,500000.0,850000.0
53,12817,Jamie,Langfield,Jamie Langfield,2020-01-01,465,jamie-langfield,Scotland,Paisley,Scotland,1979-12-22 00:00:00,Goalkeeper,Goalkeeper,left,193.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/jamie-langfield/profil/spieler/12817,SC1,Saint Mirren Football Club,100000.0,1250000.0
54,12880,Dimitrios,Sotiriou,Dimitrios Sotiriou,2024-01-01,653,dimitrios-sotiriou,Greece,Martino,Greece,1987-09-13 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/12880-1739291690.jpg?lm=1,https://www.transfermarkt.co.uk/dimitrios-sotiriou/profil/spieler/12880,GR1,Omilos Filathlon Irakliou FC,75000.0,400000.0
55,12907,Alessio,Cragno,Alessio Cragno,2023-01-01,6574,alessio-cragno,Italy,Fiesole,Italy,1994-06-28 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2025-06-30 00:00:00,GB1,https://img.a.transfermarkt.technology/portrait/header/12907-1663659430.jpg?lm=1,https://www.transfermarkt.co.uk/alessio-cragno/profil/spieler/12907,IT1,US Sassuolo,1500000.0,20000000.0
56,12979,Avraam,Papadopoulos,Avraam Papadopoulos,2021-01-01,683,avraam-papadopoulos,Australia,Melbourne,Greece,1984-12-03 00:00:00,Centre-Back,Defender,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/12979-1411396560.jpg?lm=1,https://www.transfermarkt.co.uk/avraam-papadopoulos/profil/spieler/12979,GR1,Olympiakos Syndesmos Filathlon Peiraios,200000.0,4500000.0
57,13023,Igor,de Camargo,Igor de Camargo,2021-01-01,354,igor-de-camargo,Brazil,Porto Feliz,Belgium,1983-05-12 00:00:00,Centre-Forward,Attack,right,187.0,,Paul Stefani,https://img.a.transfermarkt.technology/portrait/header/13023-1616958182.jpg?lm=1,https://www.transfermarkt.co.uk/igor-de-camargo/profil/spieler/13023,BE1,Yellow-Red Koninklijke Voetbalclub Mechelen,100000.0,4500000.0
58,13121,Bruno,Alves,Bruno Alves,2021-01-01,441,bruno-alves,Portugal,Póvoa de Varzim,Portugal,1981-11-27 00:00:00,Centre-Back,Defender,right,189.0,,Oscar Damiani,https://img.a.transfermarkt.technology/portrait/header/13121-1595920356.jpg?lm=1,https://www.transfermarkt.co.uk/bruno-alves/profil/spieler/13121,GR1,Apollon Smyrnis,100000.0,18000000.0
59,13217,João,Pereira,João Pereira,2020-01-01,449,joao-pereira,Portugal,Lisboa,Portugal,1984-02-25 00:00:00,Right-Back,Defender,right,172.0,,Cenk Melih Yazıcı,https://img.a.transfermarkt.technology/portrait/header/13217-1599758442.jpeg?lm=1,https://www.transfermarkt.co.uk/joao-pereira/profil/spieler/13217,TR1,Trabzonspor Kulübü,300000.0,10500000.0
60,13258,Tim,Sparv,Tim Sparv,2020-01-01,4603,tim-sparv,Finland,Oravais,Finland,1987-02-20 00:00:00,Defensive Midfield,Midfield,left,194.0,,MD Management,https://img.a.transfermarkt.technology/portrait/header/13258-1519042494.jpg?lm=1,https://www.transfermarkt.co.uk/tim-sparv/profil/spieler/13258,GR1,AE Larisa,150000.0,1750000.0
61,13283,Bram,Castro,Bram Castro,2020-01-01,2861,bram-castro,Belgium,Hasselt,Belgium,1982-09-30 00:00:00,Goalkeeper,Goalkeeper,right,191.0,,,https://img.a.transfermarkt.technology/portrait/header/13283-1418933379.jpg?lm=1,https://www.transfermarkt.co.uk/bram-castro/profil/spieler/13283,BE1,KV Oostende,100000.0,1000000.0
62,13460,Lee,Grant,Lee Grant,2021-01-01,985,lee-grant,England,Hemel Hempstead,England,1983-01-27 00:00:00,Goalkeeper,Goalkeeper,right,193.0,,,https://img.a.transfermarkt.technology/portrait/header/s_13460_22_2013_09_26_1.jpg?lm=1,https://www.transfermarkt.co.uk/lee-grant/profil/spieler/13460,GB1,Manchester United Football Club,250000.0,1000000.0
63,13520,Phil,Jagielka,Phil Jagielka,2020-01-01,350,phil-jagielka,England,Manchester,England,1982-08-17 00:00:00,Centre-Back,Defender,right,180.0,2023-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/13520-1475843125.jpg?lm=1,https://www.transfermarkt.co.uk/phil-jagielka/profil/spieler/13520,GB1,Sheffield United,200000.0,12000000.0
64,13572,Ben,Foster,Ben Foster,2021-01-01,1010,ben-foster,England,Leamington Spa,England,1983-04-03 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/13572-1681399137.jpg?lm=1,https://www.transfermarkt.co.uk/ben-foster/profil/spieler/13572,GB1,Watford FC,300000.0,5500000.0
65,14044,Andy,Lonergan,Andy Lonergan,2023-01-01,29,andy-lonergan,England,Preston,England,1983-10-19 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2025-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/14044-1700670846.jpg?lm=1,https://www.transfermarkt.co.uk/andy-lonergan/profil/spieler/14044,GB1,Everton Football Club,100000.0,700000.0
66,14086,Ashley,Young,Ashley Young,2024-01-01,29,ashley-young,England,Stevenage,England,1985-07-09 00:00:00,Right-Back,Defender,both,175.0,2025-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/14086-1700736434.jpg?lm=1,https://www.transfermarkt.co.uk/ashley-young/profil/spieler/14086,GB1,Everton Football Club,500000.0,27000000.0
67,14132,,Pepe,Pepe,2023-01-01,720,pepe,Brazil,Maceió,Portugal,1983-02-26 00:00:00,Centre-Back,Defender,right,187.0,,Gestifute,https://img.a.transfermarkt.technology/portrait/header/14132-1606396269.png?lm=1,https://www.transfermarkt.co.uk/pepe/profil/spieler/14132,PO1,Futebol Clube do Porto,500000.0,30000000.0
